8khz_9_mm_gunshot_mono_ext_E1_d3_wn2,
-1.8645036872518053,
2.311647923282801,
0.8879237846206236,
0.2566268970947388,
0.5059828197145897,
0.1840506854832523,
0.3535953016381612,
1.2925016359444652,
-3.398038289094541,
1.4571994190603623,
-0.9055931227399583,
-0.7256766351151875,
1.0254344574357241,
-2.9188726771627467,
0.08008753811014073,
-1.3989800448443956,
1.2517867642975133,
-0.8939429982756006,
-1.1220251550535068,
0.39857041172325913,
0.9174688500049397,
2.353844395802602,
-0.05064695238064656,
-1.5384390185982895,
-1.8023639807478558,
2.1466938854106554,
-1.989489637456523,
-1.7411064021978233,
2.7882123676097645,
-1.0908521974447651,
-0.5740033541946242,
1.946618309296015,
1.3320935750005922,
2.580196185899613,
0.6166129335949413,
-0.594656336686088,
-1.2467540563293487,
0.5311299226982227,
0.4114468378102776,
1.837708970959171,
-0.20858006836117976,
0.9834118377097398,
1.4600057238805488,
-1.8191003368578629,
-0.26873905250484387,
1.4131877892034925,
-1.8116109563323737,
-1.4904486157301255,
0.12076006870798983,
1.9639552725891938,
2.1026722424740947,
-3.2071488122928042,
-2.393819353578946,
-0.47541501669288855,
2.942289196849638,
5.468901692880835,
0.22809103029585,
-0.901606638043389,
-1.799605789049116,
1.3412486301474356,
2.51210846334239,
0.6102927074479502,
-5.144313448018267,
-1.2410094651962147,
-1.9420755354408914,
-2.3117159852925715,
-1.9373057264109004,
-2.6881522355755534,
2.357179970658972,
-0.4390766043396284,
-4.143980885968768,
0.3620319029531525,
1.380347440985839,
-0.506735667637402,
-0.27384013623356324,
-0.25478323110841217,
3.667722325397574,
5.258414311747664,
2.9307543376364205,
3.750457615424869,
-1.3763413194306113,
-0.8496052154113043,
1.4312324761897486,
4.171862323759565,
4.025820055448776,
-0.10494337568164347,
-1.5109051197703027,
1.208647790795629,
-2.605685654839071,
0.7510022891274707,
-1.1639103591184388,
0.6555962356871067,
1.55091034413885,
-1.8451062921965018,
-3.04653730018983,
2.0830154436118664,
3.3709272528267253,
-1.4421416021561904,
1.0941372356474492,
-1.6271486143479756,
0.04315314504407076,
0.2796833013486427,
2.3398939055512296,
0.17812000635461375,
-1.2198734139266398,
-0.616297623859479,
-2.0703737390485037,
-1.9976252778694934,
-3.7923315295086253,
4.070431099523898,
-1.3112742313401724,
0.7271200086091546,
-2.071503946041019,
0.6447929614749223,
0.20235024064077717,
2.776115943533809,
-1.508511622504608,
2.032995451814927,
-1.7147822553713923,
-2.5616053819960625,
-0.907714401771595,
1.3374770195662777,
-0.9696166129556498,
4.291295794280875,
0.06173450130335456,
1.2946952469811819,
-0.10494994455868352,
0.3523225494899216,
0.7337733494979245,
-0.43039161677596904,
-0.01800456861230077,
-2.3185995731277917,
3.2478281948494185,
0.46757940185589036,
2.7672180325445197,
-0.5089924819558713,
-4.600152029139369,
-1.216861474445167,
1.3239298207917043,
4.128481851175521,
1.122625681747194,
1.8392423635138413,
0.7689101029644827,
-2.7916403033652015,
1.0799996342977254,
-0.6234091270589869,
0.743406371189937,
0.2715631111091719,
2.4188583526571064,
-0.5268310305479432,
0.11904857130318969,
-0.6335585945868839,
1.5542398182828374,
1.1611524553420323,
1.3620173568484515,
0.09790638645397606,
2.2082062836569016,
-0.746357191350238,
0.9553060773171708,
2.763263419091694,
-1.270773775230051,
0.25459330288292725,
-1.6852613556861011,
3.3688435467683293,
3.358676952143718,
4.107959200112142,
-0.31587291056064515,
0.8185754597331925,
0.12580437953952053,
-0.15612729405517545,
1.1291189014894112,
-3.10982529218382,
-3.0198594986906593,
1.459571373510425,
0.4043167364386564,
-1.609785617394715,
-0.962147065444402,
0.4834044272790709,
-0.8777787668675396,
-2.069875483916165,
-3.480002413355176,
-4.184007527751115,
-2.7330693374059933,
0.35957330563727463,
0.03861929509072225,
-0.20936159671397317,
3.150246500364538,
-2.714111233150695,
0.45574417171733345,
1.266766830292383,
1.3713341666680234,
0.41597920720282644,
0.9548971831341659,
-2.706175884509969,
-2.5830487601283783,
2.4591650882281106,
-0.31800115746816887,
-0.6107748470398544,
0.5045923417452761,
0.5921651993095143,
0.49602786632297485,
2.0496164829851575,
-1.218853965969053,
0.7579479727605075,
-1.8237862151492603,
-0.7015525147052412,
0.01842585483259912,
0.36106561522880604,
-0.48748428185181153,
-4.69249575718946,
-1.368062461107404,
0.1926797379929781,
3.3149426223514893,
-0.7620305419777053,
-2.642218345258565,
3.8760268808000964,
-1.4238681093338537,
0.9382922377980684,
0.20487119975139848,
0.7441535088184804,
1.9746200644507046,
-2.458322822668519,
-2.151925615852833,
0.9619310450445594,
0.519050804992776,
1.2765084721779372,
1.06250862935903,
0.6266633232777526,
0.5236894333417115,
-2.145180106261835,
0.7192293527976025,
2.345881081122199,
-4.486649014374356,
2.867204064745524,
-1.0484922928384766,
3.3875238874868914,
-0.07680340106454049,
2.761327925489555,
1.710870504590454,
-0.5898523663833184,
-0.7798303105808144,
-0.8542430087896677,
-2.3467454061599535,
-2.60120017118737,
1.6516564840800414,
0.429961949450518,
-1.0115439663072545,
-0.7343765783062657,
0.33165596181283946,
-0.008273358349244917,
2.492204198232347,
1.1288146096561753,
2.3423881200163597,
0.7139906042506072,
2.2399532825639255,
-1.744592960349263,
-3.610491709859348,
-0.18430059792164707,
-0.6890084130413361,
0.44536491696976765,
1.3744461654039395,
-0.14607059403942535,
-0.23701596884022139,
2.9288635251350215,
1.5490923172485633,
-3.186234276821458,
-1.0257050679495112,
-0.8781799291439706,
-0.3612690359177729,
0.33911308015324815,
-2.543586526034894,
-0.8112079202936686,
-1.7483377203214594,
4.069638368439314,
1.8176106282291988,
-0.27577082712952367,
1.5610388411710399,
-0.05594840304797936,
2.187979580247818,
4.063283657510914,
4.18579538932053,
5.92114948348869,
2.4010535647044944,
-2.2862063871878804,
3.0473588959209748,
-2.0654641468602817,
0.4560129800553389,
1.5521332152959393,
0.9433768889341414,
-0.21167477829055995,
2.7390763381879086,
-4.595564609154218,
-2.8862766598784613,
-1.555508287058681,
2.3212416643889506,
0.4397072595236662,
0.06130242120731099,
-3.866799264123766,
0.8990027098796606,
-0.7672802446923311,
-0.4453392185547923,
4.102536237495315,
-0.05883484633255998,
1.042197162035805,
-0.8819366481297672,
1.84136255435509,
-1.9368718574340635,
-3.04381873939289,
-2.9616221092945016,
-1.0425255308305061,
5.508877545774499,
1.3809474568049454,
3.0006739555129633,
-0.21833019743047308,
-1.371537396538388,
1.5674963933703523,
-2.4045848368327145,
1.348343262287932,
4.253426377424108,
-0.46997513541864727,
1.705026549855913,
-0.4667241448632887,
-2.2672300422895297,
-3.4263439663252475,
-0.1486569590996578,
-1.0048293457953197,
2.73362278795473,
-0.31424416694669993,
0.7807806909815432,
2.0796389429984825,
-3.2807768108139888,
-2.4433088177243385,
0.22284760679094906,
-2.730736789591883,
1.8097706290162734,
-0.3715355110651492,
-0.42049753784803906,
1.2886215383776347,
-3.253246531234038,
3.6123651704334936,
0.8502078712061258,
-0.3122474692094153,
